,centrality
KIAA1429,0.2239219002229226
ESR2,0.17580136828349605
ESR1,0.17487892997155816
FANCD2,0.16273349219770927
MYC,0.15681451302944116
KIF14,0.13859635636866785
HIST1H4A,0.12721961718810054
BRD4,0.11753401491275271
EED,0.11253747405642248
CIT,0.11130755630717196
EFTUD2,0.10723345376277962
NR2C2,0.10677223460681068
EP300,0.10392804981166885
NXF1,0.10223691290644939
HSPA8,0.10093012529787071
TRIM28,0.09777846106541625
VCP,0.08501806441694212
PHB,0.08417249596433239
KIF20A,0.08048274271658083
PRC1,0.07917595510800216
KIF23,0.07625490045353217
NAA40,0.07502498270428165
RBM39,0.0714889691751864
SNRNP70,0.07087401030056115
ECT2,0.06964409255131063
ORF8,0.06964409255131063
OBSL1,0.06887539395802905
ZC3H18,0.06503190099162119
RNF2,0.06495503113229303
SON,0.011222999461910984
