,Community,Disease,Shared genes,Disease genes,Community size,Ratio disease,Ratio community,Relevance
0,0,Mental and motor retardation,56,802,988,0.06982543640897755,0.05668016194331984,0.003957717043423829
1,0,Small head,25,470,988,0.05319148936170213,0.025303643724696356,0.001345938495994487
2,0,Cognitive delay,56,758,988,0.07387862796833773,0.05668016194331984,0.004187452597395661
3,0,Global developmental delay,68,854,988,0.07962529274004684,0.06882591093117409,0.005480283305995127
4,0,Mammary Neoplasms,287,1736,988,0.16532258064516128,0.29048582995951416,0.04802386704975839
5,0,Intellectual Disability,163,1808,988,0.09015486725663717,0.16497975708502025,0.014873728100032246
6,0,Short stature,40,580,988,0.06896551724137931,0.04048582995951417,0.0027921262041044254
7,0,Prostatic Neoplasms,149,1138,988,0.13093145869947276,0.1508097165991903,0.019745736180386074
8,0,Mental deficiency,56,775,988,0.07225806451612904,0.05668016194331984,0.004095598798485047
9,0,ovarian neoplasm,107,709,988,0.15091678420310295,0.1082995951417004,0.016344226629283417
10,0,Poor school performance,52,741,988,0.07017543859649122,0.05263157894736842,0.0036934441366574325
11,0,"Mammary Neoplasms, Human",76,379,988,0.20052770448548812,0.07692307692307693,0.01542520803734524
12,0,Dull intelligence,50,712,988,0.0702247191011236,0.05060728744939271,0.003553882545603421
13,0,Low intelligence,50,712,988,0.0702247191011236,0.05060728744939271,0.003553882545603421
14,0,Orbital separation excessive,25,298,988,0.08389261744966443,0.025303643724696356,0.0021227889030785534
15,0,Microcephaly,12,199,988,0.06030150753768844,0.012145748987854251,0.0007324069741419649
16,0,Strabismus,25,323,988,0.07739938080495357,0.025303643724696356,0.001958486356400647
17,0,"Infant, Small for Gestational Age",12,228,988,0.05263157894736842,0.012145748987854251,0.0006392499467291711
18,0,Intrauterine retardation,12,230,988,0.05217391304347826,0.012145748987854251,0.0006336912515402217
19,0,Invasive carcinoma of breast,43,308,988,0.1396103896103896,0.043522267206477734,0.006076160681423839
20,0,Fetal Growth Retardation,15,248,988,0.06048387096774194,0.015182186234817813,0.0009182773932349484
21,0,Downward slant of palpebral fissure,18,187,988,0.0962566844919786,0.018218623481781375,0.0017536642923639825
22,0,Micrognathism,24,318,988,0.07547169811320754,0.024291497975708502,0.0018333206019402642
23,0,Triple Negative Breast Neoplasms,69,483,988,0.14285714285714285,0.06983805668016195,0.009976865240023135
24,0,Aplasia/Hypoplasia of the mandible,24,315,988,0.0761904761904762,0.024291497975708502,0.0018507807981492195
25,0,Decreased projection of lower jaw,24,313,988,0.07667731629392971,0.024291497975708502,0.0018626068735367542
26,0,Decreased projection of mandible,24,313,988,0.07667731629392971,0.024291497975708502,0.0018626068735367542
