,0
0,DVL2
1,HLA-B
2,MCC
3,IKBKE
4,PPM1B
5,TRAF6
6,SGK1
7,WRAP73
8,AMFR
9,VIMP
10,ATXN3
11,VCP
12,SMAD1
13,SMAD2
14,SNIP1
15,HDAC6
16,BRCA1
17,TP53
18,UBXN6
19,INSIG1
20,FAF2
21,RNF103
22,NPLOC4
23,PKD2
24,SVIP
25,CD3D
26,VCPIP1
27,US2
28,US3
29,CFTR
30,HSP90AA1
31,HSPA4
32,HSPA8
33,STUB1
34,NGLY1
35,HERPUD1
36,DERL2
37,FBXO2
38,FBXO6
39,SRRM2
40,UBE4B
41,TAT
42,UFD2
43,RNF2
44,AVPR2
45,WLD
46,UBXN2B
47,UBC
48,COPS5
49,WAC
50,HTT
51,PRKAA1
52,PFN1
53,TARDBP
54,HDAC5
55,HLA-DRB1
56,YOD1
57,UBXN8
58,UBXN11
59,UBXN4
60,UBXN10
61,CDK1
62,AKAP12
63,AI837181
64,INSIG2
65,CACNA1C
66,ITPR1
67,HMGCR
68,MAPK8IP2
69,RPS6KA1
70,L3MBTL1
71,UBOX5
72,NDRG1
73,HDGF
74,FCHSD2
75,KCNMA1
76,ARRB2
77,SIRT7
78,UBQLN1
79,RAD23B
80,PLAA
81,IFI16
82,AUP1
83,UBE2J1
84,RHBDL3
85,SCD
86,APOB
87,WRN
88,ISG15
89,CLN6
90,BAG6
91,UBL4A
92,PPP1CC
93,PSMA2
94,TRIM13
95,APOA1
96,CUL3
97,CUL5
98,CDK2
99,CUL1
100,CAND1
101,SLX4
102,SPRTN
103,CD4
104,GZMK
105,AKT1
106,SH2D2A
107,CLTA
108,NF1
109,PPP2CB
110,DUSP1
111,DVC-1
112,RAD23A
113,CDK1-A
114,LMAN1
115,ZBTB16
116,PARK7
117,PARK2
118,PACRG
119,HP1BP3
120,NASP
121,DSTN
122,FLNB
123,RBBP4
124,PRMT3
125,CCT5
126,NACA2
127,PSMA4
128,IGHM
129,CASP12
130,CASP9
131,CYP3A62
132,BARD1
133,PAXIP1
134,FOXP3
135,NOTCH1
136,HNF1A
137,CAV1
138,OS9
139,SMURF1
140,CCT2
141,FN1
142,VCAM1
143,PRPF40A
144,SF3B1
145,CHERP
146,PRPF3
147,SNW1
148,TP63
149,PTPN22
150,CDK6
151,NOS2
152,VCPKMT
153,ITGA4
154,ENV
155,FBXO32
156,RARA
157,ELAVL1
158,IGSF8
159,ICAM1
160,NPM1
161,PLCB1
162,LMNA
163,MAPT
164,PRKDC
165,ADRB2
166,VBP1
167,MSH4
168,FBXO25
169,PSMA7
170,DCPS
171,CDC27
172,CSNK2A2
173,CHST4
174,NUB1
175,PTGS2
176,YWHAQ
177,HYOU1
178,SEC61A1
179,DIO2
180,CAMK1D
181,CAPNS1
182,NAE1
183,PCYT2
184,RAP1GDS1
185,TUFM
186,UBA3
187,DCAF11
188,LRBA
189,STAM2
190,CDC25A
191,RNF31
192,ZFAND2B
193,TRA
194,OTULIN
195,RIOK2
196,LIN28A
197,TARBP2
198,ZNF346
199,SHFM1
200,DGAT2
201,VAPA
202,VAPB
203,PTPRO
204,PRKCD
205,MDM2
206,DGCR6
207,ANAPC4
208,SIK2
209,CEP250
210,STXBP5L
211,FUS
212,VMS1
213,CLK2
214,DTNB
215,MEOX2
216,RPL9
217,TNIP1
218,ENO1
219,SHMT2
220,CUL7
221,OBSL1
222,CCDC8
223,EZH2
224,SUZ12
225,EED
226,BMI1
227,FZR1
228,CUL4A
229,SUMO2
230,TMEM173
231,PPT1
232,MIB1
233,TMEM129
234,USP13
235,ESR1
236,HIST1H1A
237,RPL14
238,RPS8
239,PRR11
240,NTRK1
241,AP1G1
242,AP1M1
243,PNKP
244,ATAD3A
245,ATAD3B
246,CLGN
247,HNRNPK
248,IPO4
249,KDSR
250,P4HB
251,PSMA3
252,RANBP2
253,RDX
254,RPN2
255,SLC25A3
256,TDP1
257,TKT
258,SCARNA22
259,NCOA1
260,BLM
261,MUS81
262,UL29
263,GRB2
264,PIK3R3
265,GAG
266,XPO1
267,HNRNPU
268,RPL10
269,PDK3
270,KIF20A
271,VPS18
272,NIPSNAP1
273,HMG20A
274,C17ORF85
275,CLCN2
276,FERMT3
277,FBL
278,KTN1
279,EIF3A
280,EIF3E
281,SRP72
282,KLC2
283,HAUS4
284,NFKB1
285,CRY2
286,MCM2
287,ERCC8
288,ANKRD13A
289,ANKRD13B
290,ANKRD13D
291,PSMC5
292,CEBPA
293,SENP3
294,HTRA2
295,IFT74
296,TTC26
297,IFT88
298,CDC20
299,GABRA1
300,U2AF2
301,NFATC1
302,NFATC2
303,DAO
304,AURKA
305,CDC73
306,CRBN
307,TMEM184B
308,WSB2
309,UBL7
310,ZC3HAV1
311,SART3
312,ATG9A
313,WDR46
314,SLC17A2
315,FAM189B
316,FANCD2
317,CYLD
318,DLD
319,DLST
320,DNM1L
321,PDHA1
322,SOD1
323,VDAC1
324,PTEN
325,TRIM25
326,G3BP1
327,ITPR3
328,FBXL2
329,HEY1
330,RPA2
331,YAP1
332,SH2D1A
333,IQGAP2
334,IQGAP3
335,TTR
336,HNRNPL
337,GJA1
338,KIAA1715
339,BTF3
340,EMC1
341,GTF2E1
342,PPP2R1A
343,RTF1
344,SNAPC1
345,ZNF598
346,EGLN3
347,HBP1
348,TMPO
349,WDR77
350,CUL4B
351,PIAS1
352,PIAS3
353,PIAS2
354,PYHIN1
355,SLC25A46
356,PRPF8
357,EFTUD2
358,AAR2
359,PIH1D1
360,TNIP2
361,NKX2-1
362,AKTIP
363,RNF4
364,CHD3
365,CHD4
366,LARP7
367,CSTF1
368,CALCOCO2
369,WDR20
370,MYO6
371,PRKCZ
372,BPLF1
373,FGF11
374,ESR2
375,NOD2
376,HEXIM1
377,MEPCE
378,MAP1LC3B
379,AGR2
380,RECQL4
381,MUL1
382,RNF185
383,PPP1R15B
384,PPP1R9B
385,MB21D1
386,MYC
387,KEAP1
388,CDK9
389,ZFAND1
390,HIST1H3A
391,RPS6
392,TGOLN2
393,TP53BP1
394,GRWD1
395,KRT17
396,KIAA1429
397,METTL3
398,METTL14
399,TLR9
400,RC3H1
401,ATG16L1
402,ACTC1
403,PHB
404,TGFBR2
405,RBX1
406,TMEM41B
407,USP14
408,NR2C2
409,EGFR
