,0
0,SFPQ
1,EZH2
2,SRPK2
3,SRSF6
4,U2AF2
5,SRSF4
6,HNRNPM
7,SRSF1
8,U2AF1
9,YWHAG
10,YWHAB
11,RNPS1
12,SEPT2
13,PUF60
14,VHL
15,MYC
16,RBM39
17,SAFB
18,PPP1CA
19,EP300
20,SMARCB1
21,TCF3
22,SNIP1
23,SRPK1
24,SF3B6
25,ESR1
26,ILF3
27,SRSF11
28,HSPA8
29,ESR2
30,MAGOH
31,RBX1
32,NXF1
33,PRPF6
34,RAN
35,CDC5L
36,EED
37,BMI1
38,USP39
39,SIRT7
40,SAP18
41,SRRM2
42,GAG
43,DHX9
44,PRC1
45,NONO
46,PHB
47,RNF2
48,TRIM28
49,BRD4
50,FBXW11
51,PRPF3
52,MKI67
53,NHP2L1
54,RBBP6
55,EIF4A3
56,OBSL1
57,MAGEA6
58,PPP1CC
59,JMJD6
60,HBP1
61,VPR
62,CCNF
63,SF3B1
64,SNRNP70
65,SRSF7
66,SRSF5
67,ILF2
68,PRPF19
69,EFTUD2
70,ACIN1
71,BUD31
72,DDX21
73,PRPF40A
74,S100A9
75,SEPT7
76,NFIA
77,PHGDH
78,PSIP1
79,DIDO1
80,HP1BP3
81,ECT2
82,VCP
83,DHX8
84,HDAC11
85,FBXO7
86,CLK2
87,SRPK3
88,HIST1H4A
89,UBR5
90,FAM96B
91,CUL7
92,SUZ12
93,RBM4B
94,UBE2A
95,ZC3H18
96,IFI16
97,KIF20A
98,NR2C2
99,KIFAP3
100,TRIM26
101,CHMP4B
102,CIT
103,MKRN1
104,CHCHD1
105,ATOH1
106,C11ORF30
107,FANCD2
108,KIF14
109,FGF11
110,DCPS
111,KIAA1429
112,RC3H2
113,ACTC1
114,PRDM16
115,MECOM
116,PINK1
117,NSP7
118,RPL13
119,NSP10
120,NSP8
121,NSP16
122,NSP5
123,NSP9
124,ORF6
125,ORF8
126,KIF23
127,BRD3
128,CIC
129,NSP11
130,NSP15
131,MKRN3
132,NUP50
133,NAA40
134,ZBTB2
135,ZCCHC10
136,HSD17B14
137,PEA15
138,SLFN11
139,CHCHD4
140,USP25
141,TFPI
142,NDUFAF2
143,SAMD7
144,RBM17
145,CLIP4
146,SON
