,InteractorA,InteractorB
8289,TCF3,HAND2
8324,TCF3,ID3
31348,VAP-33B,SIRT7
31539,SIRT7,CKIIBETA
37873,SIRT7,POLO
37874,SIRT7,CG12985
37875,SIRT7,ERGIC53
37876,SIRT7,PK17E
62299,SIRT7,RHEA
119485,YWHAG,KIAA0408
241382,TCERG1,SF3B1
241426,YWHAG,KIF5B
241433,YWHAG,SRRM2
241441,YWHAB,KIF5B
241443,YWHAG,FRYL
241447,YWHAB,MPRIP
241449,YWHAG,MPRIP
241456,YWHAG,PI4KB
241473,YWHAB,SRRM2
241495,YWHAG,KLC1
241497,YWHAG,LARP1
241499,YWHAB,IRS2
241500,YWHAG,MLLT4
241522,YWHAB,RAI14
241530,YWHAB,SAMD4B
241542,YWHAB,BRAF
241582,YWHAG,BRAF
241589,YWHAB,PI4KB
241602,YWHAG,EPB41L3
241608,YWHAG,EDC3
241611,YWHAG,OSBPL3
241621,YWHAG,CLASP1
241633,YWHAB,USP8
241639,YWHAG,PPFIBP1
241665,YWHAG,KLC4
241669,YWHAB,EPB41L3
241675,YWHAB,PARD3
241696,YWHAG,TJP2
241700,YWHAG,SAMD4B
241719,YWHAG,ERC1
241744,YWHAG,RABGEF1
241760,YWHAB,KLC1
241761,YWHAG,PRPF4B
241763,YWHAB,MLLT4
241771,YWHAG,IRS2
241782,YWHAG,PARD3
241786,YWHAG,PAK4
241799,YWHAG,MARK2
241820,YWHAB,RACGAP1
241835,YWHAB,KIF23
241840,YWHAG,RAI14
241846,YWHAG,ARAF
241918,YWHAB,EDC3
241974,YWHAB,TJP2
242016,YWHAG,CRTC2
242027,YWHAG,SHCBP1
242085,YWHAB,FOXK1
242086,YWHAB,DENND4A
242093,YWHAB,FRYL
242134,YWHAB,SLC4A7
242163,YWHAG,LUC7L2
242311,YWHAG,KRT31
242351,YWHAB,MARK3
242367,YWHAG,MARK3
242378,YWHAG,KRT85
242396,YWHAG,KIF5C
242455,YWHAG,RAF1
242509,YWHAG,ANKS1A
242599,YWHAB,NCKAP1
242600,YWHAG,SNRNP200
242647,YWHAB,AKAP13
242751,YWHAG,KLC3
242768,YWHAG,LBR
242796,YWHAG,RACGAP1
242885,YWHAB,OSBPL3
242915,YWHAG,BAIAP2
242935,YWHAG,IGF1R
243066,YWHAB,CGN
243067,YWHAG,KIF23
243082,YWHAG,KRT33B
243105,YWHAG,SON
243113,YWHAG,KIAA0930
243162,YWHAB,RMDN3
243197,YWHAG,RMDN3
243228,YWHAG,DENND4A
243254,YWHAG,RABEP1
243287,YWHAB,RABGEF1
243309,YWHAG,CGN
243339,MAP3K3,YWHAG
243406,ATG12,SF3B1
243437,BRF2,SF3B1
243475,GSK3B,SF3B1
243476,HDAC3,SF3B1
243479,SNRNP40,SF3B1
243552,RNPS1,SF3B1
243558,PUF60,SF3B1
243561,SMNDC1,SF3B1
243573,YWHAB,LARP1
243574,YWHAB,CSNK2A1
243575,YWHAG,KLC2
243576,YWHAG,GBF1
243581,YWHAZ,SF3B1
244964,YWHAG,SFN
245223,RASGRF1,YWHAB
245225,TSC2,YWHAB
251542,MLXIPL,YWHAB
251593,RNU11,SF3B1
252705,MAPK7,YWHAB
253292,SKP2,TCF3
255990,NHLH1,TCF3
260017,RAF1,YWHAB
260028,YWHAB,RPS6KA1
260935,YWHAG,HDAC4
262068,CCNE1,SF3B1
262703,HDAC4,YWHAB
262706,HDAC5,YWHAB
263316,TCF3,EP300
263317,TCF3,CREBBP
263318,TCF3,KAT2B
270496,MAGED1,SIRT7
274699,YWHAG,KIF1C
275178,SF3B2,SF3B1
275183,SF3B1,SF3B3
275506,SF3B6,SF3B1
275514,CALM1,TCF3
275818,WEE1,YWHAB
275882,LMX1A,TCF3
276374,BAD,YWHAB
278155,FOXO1,YWHAG
279269,PTPN3,YWHAB
279367,TAL1,TCF3
279390,TCF3,LDB1
279391,TCF3,CBFA2T3
279598,ELK3,TCF3
280343,PRKCQ,YWHAG
280344,PRKCG,YWHAG
280345,PRKCD,YWHAG
280346,PRKCA,YWHAG
280347,PRKCB,YWHAG
280385,MYOD1,TCF3
281971,TCF3,TWIST1
281973,TCF3,PSMD9
282565,ZFP36,YWHAB
283021,SF3B1,PPP1R8
286657,YWHAB,IGF1R
287473,YWHAG,CDK16
287907,ID1,TCF3
287908,ID2,TCF3
287919,TCF3,MYF5
287920,TCF3,MYF6
287921,TCF3,MYOG
288406,RGS3,YWHAB
289027,DISC1,YWHAG
289134,CBL,YWHAB
289167,YWHAB,KCNK3
297106,TESK1,YWHAB
297107,TESK2,YWHAB
297575,UBE2I,TCF3
300376,YWHAB,IRS1
301212,YWHAB,SNCA
301681,PRKCZ,YWHAG
301689,PRKCZ,YWHAB
302077,PRPF6,YWHAB
302525,MLXIP,YWHAB
305031,SF3A2,SF3B1
305103,SF3B1,DDX42
305104,SF3B1,SF3B4
305106,SF3B1,SF3B5
305113,SF3B1,PHF5A
305293,TNFAIP3,YWHAB
305310,CDC25B,YWHAB
306129,LYST,YWHAB
314722,YWHAB,RIN1
315187,YWHAB,ITGB1
315882,MAPT,YWHAB
316301,CDC25A,YWHAB
317945,CDC5L,SF3B1
318039,LYL1,TCF3
318046,MAPKAPK3,TCF3
318130,UCP2,YWHAB
318133,UCP3,YWHAB
330820,SAP130,SF3B1
338377,USP8,YWHAG
423438,USP43,YWHAB
423439,USP32,YWHAB
423440,WDR20,YWHAB
442382,YWHAG,MDM4
442387,YWHAB,MDM4
442450,TCF3,DAXX
446131,FOXO3,YWHAB
448785,SNCA,YWHAG
452515,SIRT7,UBTF
458949,CDC25C,YWHAB
459017,YWHAB,TSC1
464218,MEN1,TCF3
464396,YWHAG,BAD
464436,YWHAG,EPB41L2
464459,YWHAG,HIVEP2
464490,YWHAG,KRT18
464522,YWHAG,MYH10
464558,YWHAG,PTPN3
464602,YWHAG,SSFA2
464611,YWHAG,TERF1
464612,YWHAG,TNFAIP3
464638,YWHAE,YWHAB
464640,YWHAG,YWHAE
464642,PAK1,YWHAG
464712,YWHAG,FAM65B
464733,YWHAG,CHAF1A
464747,YWHAG,MPHOSPH9
464780,YWHAG,COPS5
464794,YWHAG,SYNPO
464819,YWHAG,NEDD4L
464832,MYC,SF3B1
464841,YWHAG,SH3BP4
464850,YWHAG,WWTR1
464871,YWHAG,FAM13B
464875,YWHAG,FAM53C
464890,YWHAG,MSL2
464901,YWHAG,DDX27
464912,YWHAG,CENPJ
464933,YWHAG,CRTC3
464939,YWHAG,WNK1
464949,YWHAG,NDEL1
464961,YWHAG,CGNL1
464971,YWHAG,CEP95
464991,YWHAG,SYNPO2
465010,YWHAG,SIMC1
465015,YWHAG,ANKHD1-EIF4EBP3
465266,TRIM27,TCF3
469067,TCF4,TCF3
469378,BRCA1,TCF3
469389,CIITA,TCF3
469589,GFI1,TCF3
469593,TSC22D3,TCF3
469712,ELAVL2,TCF3
469722,IKBKG,TCF3
469808,ASCL1,TCF3
469835,MEIS2,TCF3
469963,PHF2,TCF3
470008,POLR1A,TCF3
470037,TAF1B,TCF3
470053,TCF3,ZFP292
470054,TCF3,PDLIM4
470055,TCF3,TRIP4
470056,TCF3,PAPOLB
470057,TCF3,RNF14
470058,TCF3,ASCL3
470059,TCF3,SMARCE1
470060,TCF3,ZDHHC6
470061,TCF3,RFX4
470062,TCF3,ERCC8
470063,TCF3,RAI14
470064,TCF3,CERS2
470065,TCF3,PBX4
470066,TCF3,FOXP1
470067,TCF3,ZDHHC15
470068,TCF3,TLE6
470069,TCF3,IVNS1ABP
470070,TCF3,MED16
470071,TCF3,ZFP277
470072,TCF3,SOWAHC
470073,TCF3,JADE1
470474,HDAC5,YWHAG
478640,SIRT7,POLR1A
478646,SIRT7,HIST1H4A
478647,SIRT7,HIST1H3A
478648,SIRT7,HIST2H2BE
478649,SIRT7,HIST2H2AC
478797,BAZ1B,SF3B1
479315,YWHAB,ING1
479318,YWHAG,ING1
482755,CAMK2A,YWHAB
482756,CAMK2B,YWHAB
503132,ZBTB33,TCF3
503134,CTNNB1-B,TCF3
504241,TAT,SF3B1
511385,RUNX1T1,TCF3
511396,RUNX1,TCF3
520862,H3F3A,SF3B1
521952,TOPORS,SF3B1
530517,EMD,YWHAB
531251,YWHAB,SAMSN1
531253,YWHAG,SAMSN1
533725,HDAC7,YWHAB
533863,EXO1,YWHAB
534836,NR0B2,SIRT7
544089,TRIM33,TCF3
544187,LMNA,YWHAG
544904,CHAF1A,YWHAB
555042,INPP5K,TCF3
