,InteractorA,InteractorB
17282,SFPQ,NONO
22627,EZH2,EED
119679,SRPK2,U2AF2
120105,SRSF6,RNPS1
120300,U2AF2,PUF60
120932,SRSF4,SRSF6
121463,HNRNPM,RBM4B
121978,SRSF1,U2AF2
122144,U2AF1,U2AF2
196643,SRSF1,DIDO1
241433,YWHAG,SRRM2
241473,YWHAB,SRRM2
241559,RNPS1,EFTUD2
241604,RNPS1,PRPF40A
241726,SEPT2,SEPT7
241804,RNPS1,SRPK1
241819,RNPS1,U2AF2
241835,YWHAB,KIF23
241852,RNPS1,SRSF1
242051,RNPS1,PRPF6
242058,RNPS1,SRRM2
242490,PUF60,SRSF11
242533,RNPS1,PRPF3
242612,VHL,RBX1
242634,RNPS1,PUF60
242748,RNPS1,SNRNP70
243030,RNPS1,SRPK2
243067,YWHAG,KIF23
243216,RNPS1,SRSF7
243511,MYC,EFTUD2
243552,RNPS1,SF3B1
243558,PUF60,SF3B1
244252,RBM39,ESR2
244254,RBM39,ESR1
251995,SAFB,ESR1
258573,PPP1CA,EED
259332,VHL,TRIM28
260743,EP300,ESR1
261812,SMARCB1,MYC
261880,SMARCB1,RAN
263316,TCF3,EP300
263570,SNIP1,EP300
264546,SRPK1,SRSF1
265868,SMARCB1,PPP1CA
265870,SMARCB1,PPP1CC
275506,SF3B6,SF3B1
275623,ESR1,NR2C2
276361,ILF3,ILF2
276388,SRSF1,U2AF1
276390,SRSF1,SRSF5
276391,SRSF1,SNRNP70
279064,SRSF11,SRSF1
279065,SRSF11,U2AF2
279718,HSPA8,PPP1CA
279770,ESR2,ESR1
281161,MAGOH,NXF1
281438,RBX1,CUL7
281445,RBX1,HSPA8
286640,NXF1,DHX9
302077,PRPF6,YWHAB
303543,SRPK2,SRSF1
303546,SRPK2,SRSF5
303547,SRPK2,SRSF6
303549,SRPK1,SNRNP70
303550,SRPK2,SNRNP70
314308,SRSF1,PSIP1
315125,NXF1,U2AF1
317807,SAFB,SRSF1
317808,SAFB,U2AF1
317809,SAFB,SRSF6
317810,SAFB,CLK2
317940,RAN,NXF1
317945,CDC5L,SF3B1
317956,CDC5L,ILF2
317958,CDC5L,SRSF1
317961,CDC5L,SFPQ
317965,CDC5L,PPP1CA
317967,CDC5L,PRPF19
317971,CDC5L,HSPA8
317977,CDC5L,RPL13
335827,EED,SUZ12
336259,EZH2,SUZ12
336507,BMI1,RNF2
423595,USP39,PRPF3
423618,USP39,EFTUD2
423921,USP39,PRPF6
438020,HSPA8,VCP
464832,MYC,SF3B1
465045,ESR1,HSPA8
471121,ESR2,EP300
478646,SIRT7,HIST1H4A
479397,SAP18,RNPS1
479398,SAP18,ACIN1
479521,EP300,VHL
480302,ESR1,MYC
480821,EP300,HIST1H4A
481551,MYC,EP300
483017,SRRM2,HNRNPM
483027,SRRM2,EFTUD2
483034,SRRM2,CDC5L
483036,SRRM2,PRPF19
483052,SRRM2,NONO
483055,SRRM2,SFPQ
483063,SRRM2,PRPF40A
483081,SRRM2,RBM39
483103,SRRM2,EIF4A3
483125,SRRM2,DDX21
483140,SRRM2,SEPT2
483141,SRRM2,SEPT7
483168,SRRM2,VCP
483172,SRRM2,TRIM26
503936,GAG,EED
511442,DHX9,ILF3
511461,PRC1,KIF23
516139,NONO,SMARCB1
520772,PHB,ESR1
521662,PHB,RNF2
531609,RNF2,HP1BP3
531638,RNF2,HSPA8
533656,TRIM28,PPP1CA
533657,TRIM28,PPP1CC
534897,BRD4,EP300
544549,FBXW11,RBX1
545288,ESR1,ACTC1
545479,ESR1,RBBP6
557550,MYC,HBP1
564175,MYC,TRIM28
564191,MYC,NONO
564218,MYC,PRPF6
564232,MYC,FANCD2
564284,MYC,PPP1CA
564403,MYC,YWHAB
565225,SRPK1,SRPK2
568087,RBX1,GAG
568848,PRPF3,PRPF19
568851,CDC5L,PRPF3
571803,RBM39,ACIN1
571807,RBM39,SF3B1
571810,RBM39,U2AF2
571814,RBM39,SRSF7
571815,RBM39,SRSF1
571816,RBM39,SAP18
574560,YWHAB,RNPS1
574698,YWHAG,CDC5L
574700,YWHAG,CLK2
574747,YWHAG,RNPS1
574751,YWHAG,PUF60
574768,YWHAG,PRPF19
574784,YWHAG,PRPF40A
575782,CDC5L,EFTUD2
575885,MKI67,NUP50
576071,MKI67,PPP1CC
576352,NHP2L1,DDX21
576646,MKI67,NONO
577035,MKI67,SFPQ
577058,NHP2L1,DHX9
593200,RBBP6,SRSF7
593319,RBBP6,FBXO7
603559,BRD4,HIST1H4A
607052,MAGOH,EIF4A3
607056,EIF4A3,NXF1
608653,OBSL1,CUL7
610809,MAGEA6,TRIM28
610901,VHL,HNRNPM
610924,VHL,SNRNP70
610938,VHL,UBR5
610977,VHL,HSPA8
611559,NONO,PPP1CA
611560,SFPQ,PPP1CA
611565,PPP1CC,NONO
611571,NONO,U2AF2
611575,SFPQ,U2AF2
612028,BRD4,JMJD6
612034,BRD4,BRD3
612080,JMJD6,PRPF40A
644570,HBP1,EP300
666554,MYC,BRD4
666616,MYC,PRC1
667280,SIRT7,MKI67
667295,SIRT7,DDX21
667304,SIRT7,VCP
667325,SIRT7,SF3B1
667340,SIRT7,ACIN1
667405,SIRT7,UBR5
667416,SIRT7,ILF2
667440,SIRT7,SFPQ
667457,SIRT7,SRRM2
667485,SIRT7,KIAA1429
667488,SIRT7,HP1BP3
667526,SIRT7,SRSF4
667587,SIRT7,PPP1CA
667603,SIRT7,PPP1CC
667618,SIRT7,PRPF6
667624,SIRT7,RBM39
667625,SIRT7,KIF14
667664,SIRT7,U2AF2
667665,SIRT7,DHX8
667667,SIRT7,SRSF5
667703,SIRT7,PRPF40A
667704,SIRT7,NXF1
667714,SIRT7,KIF23
667751,SIRT7,SRPK1
667768,SIRT7,CUL7
667772,SIRT7,DIDO1
667801,SIRT7,ZC3H18
667815,SIRT7,SNRNP70
667854,SIRT7,PUF60
668800,RNF2,SMARCB1
668818,RNF2,RBM39
669868,RNPS1,ACIN1
670382,TCF3,SAFB
670431,TCF3,RPL13
670441,TCF3,RBM39
670462,TCF3,NONO
670481,TCF3,SRSF1
672223,MYC,VHL
672514,RAN,ESR1
674144,GAG,DHX9
676494,TRIM28,NR2C2
683542,PPP1CC,VCP
683545,PPP1CC,HSPA8
683770,PPP1CC,ESR1
685007,VPR,SRSF1
685145,CCNF,RBX1
692160,VPR,RBX1
697566,VHL,KIFAP3
717329,U2AF2,PRPF19
717337,CDC5L,U2AF2
719075,SNIP1,MYC
719669,NHP2L1,PRPF3
719703,PRPF6,EFTUD2
719725,PRPF6,PRPF3
722255,NXF1,SRSF7
722256,NXF1,SRSF1
722406,RNPS1,NXF1
724039,VPR,GAG
743067,SF3B1,SRSF1
743144,SF3B1,EFTUD2
743239,SNRNP70,U2AF2
743240,DHX9,SRSF1
743328,SRSF1,EFTUD2
743336,DHX9,EFTUD2
743674,NHP2L1,SRSF5
743771,SF3B6,SRSF5
743804,NHP2L1,SRSF7
743809,NHP2L1,RNPS1
743831,SFPQ,U2AF1
743841,SF3B1,U2AF1
743852,PRPF6,SRSF7
743887,NHP2L1,PRPF6
743907,HNRNPM,U2AF2
743952,DHX9,SRSF7
743965,HNRNPM,PRPF6
743970,PRPF6,U2AF1
743975,SRSF11,SRSF7
743977,NHP2L1,SRSF11
743986,PRPF6,SRSF5
743992,HNRNPM,EFTUD2
744001,HNRNPM,NHP2L1
744020,SRSF7,U2AF1
