#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
243105	7532	6651	113364	112534	-	HSPC310	YWHAG	SON	14-3-3GAMMA|PPP1R170	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.316	-	Exogenous expression of bait	-	BIOGRID	P61981	-	NP_036611	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
574546	7529	6651	113361	112534	RP1-148E22.1	HSPC310	YWHAB	SON	GW128|HEL-S-1|HS1|KCIP-1|YWHAA	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Jin J (2004)	PUBMED:15324660	9606	9606	High Throughput	-	-	-	-	BIOGRID	P31946	V9HWD6	NP_647539|NP_003395	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
574721	7532	6651	113364	112534	-	HSPC310	YWHAG	SON	14-3-3GAMMA|PPP1R170	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Jin J (2004)	PUBMED:15324660	9606	9606	High Throughput	-	-	-	-	BIOGRID	P61981	-	NP_036611	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
667370	51547	6651	119602	112534	-	HSPC310	SIRT7	SON	SIR2L7	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Tsai YC (2012)	PUBMED:22586326	9606	9606	High Throughput	-	-	exogenous expression of bait|figure 2, table S1.	-	BIOGRID	Q9NRC8	-	NP_057622	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
670422	6929	6651	112791	112534	-	HSPC310	TCF3	SON	E2A|E47|ITF1|TCF-3|VDIR|bHLHb21	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Teachenor R (2012)	PUBMED:22354994	9606	9606	High Throughput	-	-	table 1. Proteins associated with E47 in human embryonic kidney cells.	-	BIOGRID	P15923	Q2TB39|X6REB3	NP_001129611|NP_003191	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
746394	23451	6651	117017	112534	-	HSPC310	SF3B1	SON	Hsh155|MDS|PRP10|PRPF10|SAP155|SF3b155	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.795	-	Denoised score >= 0.75	-	BIOGRID	O75533	A0JLT9|Q7Z497	NP_001005526|NP_001295753|NP_036565	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
746643	3609	6651	109822	112534	-	HSPC310	ILF3	SON	CBTF|DRBF|DRBP76|MMP4|MPHOSPH4|MPP4|NF-AT-90|NF110|NF110b|NF90|NF90a|NF90b|NFAR|NFAR-1|NFAR2|TCP110|TCP80	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	1.0	-	Denoised score >= 0.75	-	BIOGRID	Q12906	A0A024R7C7	NP_036350|NP_703194|NP_001131145|NP_004507|NP_060090	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
746644	24148	6651	117298	112534	-	HSPC310	PRPF6	SON	ANT-1|ANT1|C20orf14|Prp6|RP60|SNRNP102|TOM|U5-102K|hPrp6	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	1.0	-	Denoised score >= 0.75	-	BIOGRID	O94906	-	NP_036601	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
746757	3608	6651	109821	112534	RP11-354A16.1	HSPC310	ILF2	SON	NF45|PRO3063	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.978	-	Denoised score >= 0.75	-	BIOGRID	Q12905	Q53FG3|F4ZW62|B4DY09	NP_001254738|NP_004506	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
746778	9129	6651	114577	112534	-	HSPC310	PRPF3	SON	HPRP3|HPRP3P|PRP3|Prp3p|RP18|SNRNP90	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.976	-	Denoised score >= 0.75	-	BIOGRID	O43395	-	NP_004689	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
